AniLifeNumber,AniBirthday,age_at_exit,exit_date,exit_code,slaughter_date,weight,birth_year,cohort,endmilk_to_exit_days,selling_price,classification,category,price_per_kg,fattened,MviWeight,LastMilkingDate
FR4404288111,2012-07-31,76,2018-12-03,B,2018-12-04,377.3,2012,pre-2016,88,935.7,O-3,VL,2.479989398,TRUE,694,2018-09-06
FR4404288069,2010-12-16,97,2019-02-04,B,2019-02-04,415.7,2010,pre-2016,163,1093.29,O-3,VL,2.629997594,TRUE,713,2018-08-25
FR4404288105,2012-04-11,81,2019-02-04,B,2019-02-04,415.9,2012,pre-2016,72,1093.82,O-3,VL,2.630007213,TRUE,794,2018-11-24
FR4404288156,2014-05-05,56,2019-02-04,B,2019-02-04,353.4,2014,pre-2016,74,929.44,O-3,VL,2.629994341,TRUE,658,2018-11-22
FR4404288168,2014-08-20,53,2019-02-04,B,2019-02-04,394.4,2014,pre-2016,74,1037.27,O-3,VL,2.629994929,TRUE,761,2018-11-22
FR4404288190,2015-01-03,49,2019-02-04,B,2019-02-04,390.6,2015,pre-2016,122,1027.28,O-3,VL,2.63000512,TRUE,694,2018-10-05
FR4404288165,2014-06-27,56,2019-03-05,B,2019-03-06,348.9,2014,pre-2016,0,924.58,O-3,VL,2.649985669,FALSE,797,2019-03-05
FR4404288137,2013-09-14,68,2019-06-03,B,2019-06-04,403.2,2013,pre-2016,159,1149.12,O-3,VL,2.85,TRUE,815,2018-12-26
FR4404288158,2014-05-09,62,2019-07-29,B,2019-07-29,355,2014,pre-2016,174,1011.75,O-3,VL,2.85,TRUE,654,2019-02-05
FR4404288163,2014-06-16,61,2019-07-29,B,2019-07-29,407.1,2014,pre-2016,174,1160.24,O-3,VL,2.850012282,TRUE,735,2019-02-05
FR4404288169,2014-08-22,59,2019-07-29,B,2019-07-29,385.3,2014,pre-2016,151,1098.11,O-3,VL,2.850012977,TRUE,712,2019-02-28
FR4958880509,2015-08-23,47,2019-07-29,B,2019-07-29,356.7,2015,pre-2016,151,991.63,O-3,VL,2.780011214,TRUE,616,2019-02-28
FR4404658938,2013-06-22,74,2019-09-02,B,2019-09-02,397.9,2013,pre-2016,108,1094.22,O-3,VL,2.749987434,TRUE,759,2019-05-17
FR4935590346,2012-09-06,83,2019-09-02,B,2019-09-02,405.5,2012,pre-2016,186,1115.13,O-3,VL,2.75001233,TRUE,749,2019-02-28
FR4945368325,2012-05-25,87,2019-09-02,B,2019-09-02,363.8,2012,pre-2016,186,1000.45,O-3,VL,2.75,TRUE,629,2019-02-28
FR4958880363,2012-09-27,87,2019-12-31,E,2020-01-02,349.5,2012,pre-2016,169,880.74,O-3,VL,2.52,TRUE,670,2019-07-15
FR4404288028,2009-05-19,131,2020-04-20,B,2020-04-20,326.9,2009,pre-2016,88,843.4,O-3,VL,2.579993882,TRUE,839,2020-01-23
FR4404288178,2014-10-22,65,2020-04-20,B,2020-04-20,355.2,2014,pre-2016,172,909.31,O-3,VL,2.559994369,TRUE,610,2019-10-31
FR4404288213,2015-10-14,54,2020-04-20,B,2020-04-20,345.6,2015,pre-2016,88,884.74,O-3,VL,2.560011574,TRUE,663,2020-01-23
FR4404288274,2017-02-15,38,2020-04-20,E,2020-04-20,350.5,2017,2016-2018,243,897.28,O-3,VL,2.56,TRUE,525,2019-08-21
FR4404288232,2016-03-21,51,2020-06-22,B,2020-06-23,253.8,2016,2016-2018,11,571.05,P-3,VL,2.25,FALSE,580,2020-06-11
FR4404288075,2011-04-16,110,2020-06-29,B,2020-06-30,371.8,2011,pre-2016,113,1041.04,O-3,VL,2.8,TRUE,842,2020-03-08
FR4404288188,2014-12-22,67,2020-08-05,B,2020-08-06,372.8,2014,pre-2016,150,1040.11,O-3,VL,2.789994635,TRUE,659,2020-03-08
FR4404288219,2015-11-15,61,2020-12-28,B,2020-12-28,392,2015,pre-2016,104,1058.4,O-3,VL,2.7,TRUE,837,2020-09-15
FR4404288224,2016-01-13,59,2020-12-28,B,2020-12-28,372.8,2016,2016-2018,1,1006.56,O-3,VL,2.7,FALSE,994,2020-12-27
FR4404288319,2017-11-14,38,2021-01-20,B,2021-01-21,268.7,2017,2016-2018,0,510.53,P-2,VL,1.9,FALSE,851,2021-01-19
FR4404288247,2016-08-13,55,2021-03-22,B,2021-03-23,369.1,2016,2016-2018,179,1051.94,O-3,VL,2.850013546,TRUE,868,2020-09-24
FR4404288300,2017-08-15,43,2021-03-22,B,2021-03-23,359.7,2017,2016-2018,119,1025.15,O-3,VL,2.8500139,TRUE,850,2020-11-23
FR4404288340,2018-04-28,34,2021-03-22,B,2021-03-23,394.6,2018,2016-2018,171,1124.61,O-3,VL,2.85,TRUE,847,2020-10-02
FR4404288205,2015-06-27,70,2021-05-03,B,2021-05-04,368.3,2015,pre-2016,83,1068.07,O-3,VL,2.9,TRUE,726,2021-02-09
FR4404288208,2015-08-25,68,2021-05-03,B,2021-05-04,340.3,2015,pre-2016,116,986.87,O-3,VL,2.9,TRUE,804,2021-01-07
FR4404288215,2015-10-24,70,2021-08-27,B,2021-08-27,382.2,2015,pre-2016,115,1184.82,O-3,VL,3.1,TRUE,1001,2021-05-04
FR4958880507,2015-07-27,74,2021-10-19,E,2021-10-21,379.1,2015,pre-2016,0,1232.08,O-3,VL,3.250013189,FALSE,853,2021-10-19
FR4404283159,2018-09-17,39,2021-12-28,B,2021-12-28,330.3,2018,2016-2018,97,1070.17,O-3,VL,3.239993945,TRUE,431,2021-09-22
FR4404288267,2016-12-26,60,2021-12-28,B,2021-12-28,380.8,2016,2016-2018,62,1233.79,O-3,VL,3.239994748,TRUE,651,2021-10-26
FR4404288242,2016-06-23,69,2022-03-29,B,2022-03-31,412.8,2016,2016-2018,120,1737.89,O-3,VL,4.210004845,TRUE,708,2021-11-29
FR4404288353,2018-08-18,46,2022-07-06,B,2022-07-08,309.5,2018,2016-2018,0,1439.18,O-3,VL,4.650016155,FALSE,697,2022-07-06
FR4404288236,2016-04-14,78,2022-10-17,E,2022-10-19,345.8,2016,2016-2018,138,1646.01,O-3,VL,4.760005784,TRUE,1032,2022-06-01
FR4404288384,2019-02-09,45,2022-11-15,E,2022-11-15,319.7,2019,2019-2021,1,1445.04,O-3,VL,4.519987488,FALSE,964,2022-11-14
FR4944526073,2015-08-14,87,2022-11-15,E,2022-11-15,366.7,2015,pre-2016,74,1657.48,O-3,VL,4.519989092,TRUE,721,2022-09-02
FR4404288164,2014-06-22,102,2023-01-11,B,2023-01-12,349.3,2014,pre-2016,109,1554.39,O-3,VL,4.450014314,TRUE,527,2022-09-24
FR4404288287,2017-06-07,67,2023-01-30,E,2023-01-30,375.9,2017,2016-2018,0,1672.76,O-3,VL,4.450013301,FALSE,1248,2023-01-30
FR4404288311,2017-10-07,65,2023-03-13,E,2023-03-14,418.3,2017,2016-2018,136,1966.01,O-3,VL,4.7,TRUE,1023,2022-10-28
FR4404288396,2019-03-07,54,2023-10-03,E,2023-10-03,263.8,2019,2019-2021,130,923.3,P-3,VL,3.5,TRUE,435,2023-05-26