year,month,date,volume_delivered_L,volume_a,volume_b
2016,April,2016-04-30,63742,63742,0
2016,May,2016-05-31,65957,65957,0
2016,June,2016-06-30,62387,62387,0
2016,July,2016-07-31,64271,64271,0
2016,August,2016-08-31,56481,56481,0
2016,September,2016-09-30,57018,57018,0
2016,October,2016-10-31,58124,58124,0
2016,November,2016-11-30,58228,58228,0
2016,December,2016-12-31,64177,64177,0
2017,January,2017-01-31,75851,75851,0
2017,February,2017-02-28,65305,65305,0
2017,March,2017-03-31,66139,61585,4554
2017,April,2017-04-30,,,
2017,May,2017-05-31,,,
2017,June,2017-06-30,,,
2017,July,2017-07-31,,,
2017,August,2017-08-31,,,
2017,September,2017-09-30,,,
2017,October,2017-10-31,,,
2017,November,2017-11-30,,,
2017,December,2017-12-31,,,
2018,January,2018-01-31,,,
2018,February,2018-02-28,,,
2018,March,2018-03-31,,,
2018,April,2018-04-30,83712,83712,0
2018,May,2018-05-31,81359,81359,0
2018,June,2018-06-30,74916,74916,0
2018,July,2018-07-31,79428,79428,0
2018,August,2018-08-31,74258,74258,0
2018,September,2018-09-30,74858,74858,0
2018,October,2018-10-31,71107,71107,0
2018,November,2018-11-30,65009,65009,0
2018,December,2018-12-31,79059,79059,0
2019,January,2019-01-31,87426,87426,0
2019,February,2019-02-28,77829,,77829
2019,March,2019-03-31,89113,,89113
2019,April,2019-04-30,,,
2019,May,2019-05-31,,,
2019,June,2019-06-30,,,
2019,July,2019-07-31,,,
2019,August,2019-08-31,,,
2019,September,2019-09-30,,,
2019,October,2019-10-31,,,
2019,November,2019-11-30,,,
2019,December,2019-12-31,,,
2020,January,2020-01-31,,,
2020,February,2020-02-29,,,
2020,March,2020-03-31,,,
2020,April,2020-04-30,101850,101850,0
2020,May,2020-05-31,108022,108022,0
2020,June,2020-06-30,94356,94356,0
2020,July,2020-07-31,90268,90268,0
2020,August,2020-08-31,96743,96743,0
2020,September,2020-09-30,87803,87803,0
2020,October,2020-10-31,86397,86397,0
2020,November,2020-11-30,85695,85695,0
2020,December,2020-12-31,94744,94744,0
2021,January,2021-01-31,99430,47097,52333
2021,February,2021-02-28,95285,,95285
2021,March,2021-03-31,103867,,103867
2021,April,2021-04-30,100250,100250,0
2021,May,2021-05-31,102728,102728,0
2021,June,2021-06-30,94788,94788,0
2021,July,2021-07-31,98376,98376,0
2021,August,2021-08-31,85643,85643,0
2021,September,2021-09-30,82080,82080,0
2021,October,2021-10-31,88787,88787,0
2021,November,2021-11-30,87410,87410,0
2021,December,2021-12-31,98654,98654,0
2022,January,2022-01-31,110572,110752,0
2022,February,2022-02-28,105460,27515,77945
2022,March,2022-03-31,111209,976983,111209
2022,April,2022-04-30,116842,116842,0
2022,May,2022-05-31,126821,126821,0
2022,June,2022-06-30,112805,112805,0
2022,July,2022-07-31,103973,103973,0
2022,August,2022-08-31,104833,104833,0
2022,September,2022-09-30,94506,94506,0
2022,October,2022-10-31,96387,96387,0
2022,November,2022-11-30,95364,95864,0
2022,December,2022-12-31,107932,107932,0
2023,January,2023-01-31,112212,100668,11544
2023,February,2023-02-28,114451,,114451
2023,March,2023-03-31,132271,,113374
2023,April,2023-04-30,,,
2023,May,2023-05-31,,,
2023,June,2023-06-30,,,
2023,July,2023-07-31,,,
2023,August,2023-08-31,,,
2023,September,2023-09-30,,,
2023,October,2023-10-31,106394,,
2023,November,2023-11-30,103908,,
2023,December,2023-12-31,106651,,
2024,January,2024-01-31,121920,,
2024,February,2024-02-29,113859,,
2024,March,2024-03-31,132427,,
2024,April,2024-04-30,123732,,
2024,May,2024-05-31,124111,,
2024,June,2024-06-30,,,
2024,July,2024-07-31,116336,,
2024,August,2024-08-31,,,