AniId,AniLifeNumber,Correct_AniLifeNumber,AniActive,AniGenId,AniBirthday,AniMotherLifeNumber,entry_code,entry_date,exit_code,exit_date
200,,,TRUE,1,11/13/16,FR4404288127,N,11/13/16,NA,NA
239,,,FALSE,2,6/19/17,FR4404288098,N,6/19/17,NA,NA
240,,,FALSE,2,6/19/17,FR4404288098,N,6/19/17,NA,NA
249,,,FALSE,2,8/11/17,FR4404288207,N,8/11/17,NA,NA
263,,,FALSE,2,7/15/11,,N,7/15/11,NA,NA
270,,,FALSE,1,9/24/17,FR4958880507,N,9/24/17,NA,NA
281,,,FALSE,2,11/5/17,FR4958880509,N,11/5/17,NA,NA
287,,,FALSE,2,12/3/17,FR4404288169,N,12/3/17,NA,NA
313,,,FALSE,1,6/24/18,FR4404288019,N,6/24/18,NA,NA
321,,,FALSE,2,8/13/18,FR4935590346,N,8/13/18,NA,NA
329,,,FALSE,2,9/14/18,FR4404288199,N,9/14/18,NA,NA
365,,,FALSE,2,2/22/19,FR4404288213,N,2/22/19,NA,NA
392,,,FALSE,2,8/24/19,FR4454691592,N,8/24/19,NA,NA
658,,,FALSE,2,6/11/20,FR4404288243,N,6/11/20,NA,NA
686,,,FALSE,2,7/24/16,FR4401572140,NA,NA,NA,NA
698,,,FALSE,2,8/25/16,FR4401572089,NA,NA,NA,NA
699,,,FALSE,2,8/26/16,FR4401572111,NA,NA,NA,NA
751,,,FALSE,2,7/22/16,FR4401572120,NA,NA,NA,NA
759,,,FALSE,2,2/14/13,NA,N,2/14/13,NA,NA
760,,,FALSE,2,3/30/14,NA,N,3/30/14,NA,NA
1082,,,TRUE,2,3/30/24,FR4404288540,N,3/30/24,NA,NA
16,FR4404288078,,FALSE,2,6/5/11,,N,6/5/11,B,12/26/16
187,FR4404288078,,FALSE,2,6/5/11,,N,6/5/11,B,12/26/16
22,FR4404288087,,FALSE,2,9/24/11,,N,9/24/11,B,12/26/16
188,FR4404288087,,FALSE,2,9/24/11,,N,9/24/11,B,12/26/16
28,FR4404288099,,FALSE,2,2/8/12,,N,2/8/12,B,12/26/16
189,FR4404288099,,FALSE,2,2/8/12,,N,2/8/12,B,12/26/16
34,FR4404288108,,FALSE,2,6/21/12,,N,6/21/12,B,12/26/16
190,FR4404288108,,FALSE,2,6/21/12,,N,6/21/12,B,12/26/16
39,FR4404288114,,FALSE,2,9/13/12,,N,9/13/12,B,12/26/16
191,FR4404288114,,FALSE,2,9/13/12,,N,9/13/12,B,12/26/16
45,FR4404288123,,FALSE,2,10/15/12,,N,10/15/12,B,12/26/16
192,FR4404288123,,FALSE,2,10/15/12,,N,10/15/12,B,12/26/16
60,FR4404288141,,FALSE,2,10/29/13,,N,10/29/13,B,12/28/21
193,FR4404288141,,FALSE,2,10/29/13,FR4404288081,N,10/29/13,B,12/28/21
241,FR4404288289,,FALSE,2,6/26/17,FR4950954269,N,6/26/17,NA,NA
242,FR4404288289,,FALSE,2,6/26/17,FR4950954269,N,6/26/17,NA,NA
253,FR4404288299,FR4404288298,FALSE,2,8/12/17,FR4945368325,N,8/12/17,E,12/31/19
257,FR4404288299,FR4404288299,FALSE,2,8/15/17,FR4404288202,N,8/15/17,E,12/31/19
254,FR4404288300,Remap AniBirthday,FALSE,2,8/20/17,FR4404288205,N,8/15/17,B,3/22/21
255,FR4404288300,,FALSE,2,8/20/17,FR4404288205,N,8/20/17,B,3/22/21
260,FR4404288300,,FALSE,2,8/20/17,FR4404288205,N,8/20/17,B,3/22/21
256,FR4404288301,,FALSE,2,8/21/17,FR4404288204,N,8/21/17,M,11/10/17
258,FR4404288301,,FALSE,2,8/21/17,FR4404288204,N,8/21/17,M,11/10/17
267,FR4404288308,FR4404288307,FALSE,2,9/12/17,FR4404288203,N,9/17/17,E,11/18/20
277,FR4404288308,FR4404288308,FALSE,2,10/21/17,FR4404288080,N,10/21/17,E,11/18/20
282,FR4404288318,FR4404288319,FALSE,2,11/14/17,FR4404288156,N,11/13/17,B,1/20/21
289,FR4404288318,FR4404288318,TRUE,2,11/25/17,FR4404658982,N,11/25/17,B,12/26/24
284,FR4404288320,??,FALSE,2,11/25/17,FR4404658982,N,11/25/17,NA,NA
286,FR4404288320,FR4404288320,FALSE,2,12/3/17,FR4404288169,N,12/3/17,B,4/11/23
285,FR4404288321,??,FALSE,2,11/27/17,FR4404288215,N,11/27/17,E,10/13/20
288,FR4404288321,FR4404288321,FALSE,2,12/3/17,FR4404288214,N,12/3/17,E,10/13/20
395,FR4404288415,??,FALSE,2,10/8/19,FR4404288300,N,10/8/19,NA,NA
397,FR4404288415,FR4404288415,FALSE,2,10/20/19,FR4404288310,N,10/20/19,B,7/31/23
598,FR4404288440,,FALSE,2,2/16/20,FR4404288215,N,2/16/20,NA,NA
599,FR4404288440,,TRUE,2,2/16/20,FR4404288225,N,2/16/20,NA,NA
975,FR4404288587,,FALSE,2,10/31/22,FR4404288415,N,10/31/22,NA,NA
1067,FR4404288587,,FALSE,2,10/31/22,,N,10/31/22,NA,NA
1068,FR4404288587,,TRUE,2,10/31/22,FR4404288415,N,10/31/22,NA,NA
982,FR4404288594,,FALSE,2,11/26/22,FR4404288460,N,11/26/22,NA,NA
1081,FR4404288594,,TRUE,2,11/26/22,FR4404288460,N,11/26/22,NA,NA
986,FR4404288598,??,FALSE,2,1/1/23,FR4404288429,N,1/1/23,NA,NA
987,FR4404288598,FR4404288598,TRUE,2,1/1/23,FR4404288482,N,1/1/23,NA,NA
1035,FR4404288645,??,FALSE,2,8/29/23,FR4404288526,N,8/29/23,NA,NA
1040,FR4404288645,FR4404288645,TRUE,2,9/1/23,FR4404288521,N,9/1/23,NA,NA
1064,FR4404288668,FR4404288667 ,TRUE,2,1/6/24,FR4404288527,N,1/6/24,NA,NA
1071,FR4404288668,FR4404288645,TRUE,2,1/26/24,FR4404288546,N,1/26/24,NA,NA
1078,FR4404288681,,FALSE,2,3/17/24,Incorrect,NA,NA,M,3/21/24
1079,FR4404288681,Map Mother ID,FALSE,2,3/17/24,FR4404288555,N,3/17/24,M,3/21/24
115,FR4912264828,,FALSE,2,3/29/11,,A,10/9/14,B,12/26/16
194,FR4912264828,,FALSE,2,3/29/11,,A,10/9/14,B,12/26/16
122,FR4952860131,,FALSE,2,9/26/12,,A,10/8/12,B,12/26/16
195,FR4952860131,,FALSE,2,9/26/12,,A,10/8/12,B,12/26/16
479,FR4954409921,,TRUE,2,6/30/18,FR4954409661,A,7/27/20,NA,NA
674,FR4954409921,,FALSE,2,6/30/18,FR4954409661,A,7/27/20,NA,NA
128,FR4963921571,,FALSE,2,11/16/11,,A,11/28/11,B,12/26/16
196,FR4963921571,,FALSE,2,11/16/11,,A,11/28/11,B,12/26/16
303,NA,,FALSE,1,3/13/18,NA,N,3/13/18,NA,NA
320,NA,,FALSE,1,3/20/18,NA,N,3/20/18,NA,NA
348,NA,,FALSE,1,12/10/18,NA,N,12/10/18,NA,NA
1048,NA,,FALSE,2,10/5/23,NA,N,10/5/23,NA,NA
1052,NA,,FALSE,2,10/26/23,NA,N,10/26/23,NA,NA
1053,NA,,FALSE,2,10/26/23,NA,N,10/26/23,NA,NA
1103,NA,,FALSE,2,8/20/24,NA,N,8/20/24,NA,NA